Dataset,Algorithm,Param_Value,True_Cardinality,Est_Mean,Rel_Error
crusoe.txt,HLL,b=10,6245,6345.683343693765,0.016122232777224178
crusoe.txt,REC,k=256,6245,6472.370077474885,0.03640833906723538
crusoe.txt,KMV,k=256,6245,6669.971506681072,0.06804988097375056
dracula.txt,HLL,b=4,9425,9262.032053145544,0.01729102884397415
dracula.txt,HLL,b=6,9425,9112.786627655512,0.03312608725140453
dracula.txt,HLL,b=8,9425,9544.45424327569,0.012674190267977697
dracula.txt,HLL,b=10,9425,9490.129991406511,0.006910343915810205
dracula.txt,HLL,b=12,9425,9434.232972094902,0.0009796256864617427
dracula.txt,REC,k=16,9425,10738.268166109297,0.13933879746517744
dracula.txt,KMV,k=16,9425,9487.528843928036,0.006634360098465328
dracula.txt,REC,k=64,9425,10310.946775270719,0.09399965785365716
dracula.txt,KMV,k=64,9425,9403.534532682388,0.0022775031636723514
dracula.txt,REC,k=256,9425,9121.482361732773,0.03220346294612489
dracula.txt,KMV,k=256,9425,9413.959939596121,0.0011713591940454822
dracula.txt,REC,k=512,9425,9603.574708267097,0.018946918649028845
dracula.txt,KMV,k=512,9425,9433.264017406802,0.0008768188230028584
dracula.txt,REC,k=1024,9425,9642.38516325934,0.023064738807356988
dracula.txt,KMV,k=1024,9425,9362.16043930647,0.006667327394539
iliad.txt,HLL,b=10,8925,9013.682506180146,0.009936415258279714
iliad.txt,REC,k=256,8925,8774.972557776044,0.01680979744806233
iliad.txt,KMV,k=256,8925,8878.981744062452,0.0051561071078485175
mare-balena.txt,HLL,b=10,5670,5553.789537176055,0.020495672455722206
mare-balena.txt,REC,k=256,5670,5830.414424245104,0.028291785581147068
mare-balena.txt,KMV,k=256,5670,5685.186323757541,0.0026783639784022533
midsummer-nights-dream.txt,HLL,b=10,3136,3169.6639657046135,0.010734682941522154
midsummer-nights-dream.txt,REC,k=256,3136,2976.8038508213967,0.05076407818195257
midsummer-nights-dream.txt,KMV,k=256,3136,3083.9971974028276,0.01658252633838405
quijote.txt,HLL,b=10,23034,23158.628001938174,0.005410610486158454
quijote.txt,REC,k=256,23034,25310.216342293927,0.09881984641373302
quijote.txt,KMV,k=256,23034,24154.30952848749,0.048637211447750746
valley-fear.txt,HLL,b=10,5829,5815.221471713252,0.0023637893784093397
valley-fear.txt,REC,k=256,5829,6324.033008531336,0.0849258892659695
valley-fear.txt,KMV,k=256,5829,6159.957274021419,0.05677771041712454
war-peace.txt,HLL,b=10,17475,17293.649380984727,0.01037771782633894
war-peace.txt,REC,k=256,17475,16002.2932482717,0.08427506447658366
war-peace.txt,KMV,k=256,17475,18429.973027122545,0.05464795577239172
Synthetic_a0.0,HLL,10,5000,5027.522843475496,0.005504568695099261
Synthetic_a0.0,REC,256,5000,4956.150429629053,0.008769914074189365
Synthetic_a1.0,HLL,10,4362,4343.012761818924,0.004352874411067298
Synthetic_a1.0,REC,256,4362,4452.5210570565205,0.020752190980403595
Synthetic_a2.0,HLL,10,293,292.2063415375184,0.002708731953862026
Synthetic_a2.0,REC,256,293,294.26479141676515,0.004316694255171158
